dataset,accuracy,error,epochs,generations,hidden_size,batch_size,simulation_set_size,simulation_alg,activation_fun,optimizer
ArrowHead,0.32558139534883723,,30,4,32,32,50,montecarlo,relu,adam
ArrowHead,0.4186046511627907,,30,4,32,32,50,montecarlo,relu,sgd
ArrowHead,0.46511627906976744,,30,4,32,32,50,montecarlo,sigmoid,adam
ArrowHead,0.5116279069767442,,30,4,32,32,50,montecarlo,sigmoid,sgd
ArrowHead,0.4883720930232558,,30,4,32,32,100,montecarlo,relu,adam
ArrowHead,0.32558139534883723,,30,4,32,32,100,montecarlo,relu,sgd
ArrowHead,0.5348837209302325,,30,4,32,32,100,montecarlo,sigmoid,adam
ArrowHead,0.46511627906976744,,30,4,32,32,100,montecarlo,sigmoid,sgd
ArrowHead,0.4883720930232558,,30,4,32,32,200,montecarlo,relu,adam
ArrowHead,0.6046511627906976,,30,4,32,32,200,montecarlo,relu,sgd
ArrowHead,0.37209302325581395,,30,4,32,32,200,montecarlo,sigmoid,adam
ArrowHead,0.46511627906976744,,30,4,32,32,200,montecarlo,sigmoid,sgd
ArrowHead,0.37209302325581395,,30,4,32,64,50,montecarlo,relu,adam
ArrowHead,0.4883720930232558,,30,4,32,64,50,montecarlo,relu,sgd
ArrowHead,0.4418604651162791,,30,4,32,64,50,montecarlo,sigmoid,adam
ArrowHead,0.5116279069767442,,30,4,32,64,50,montecarlo,sigmoid,sgd
ArrowHead,0.46511627906976744,,30,4,32,64,100,montecarlo,relu,adam
ArrowHead,0.5116279069767442,,30,4,32,64,100,montecarlo,relu,sgd
ArrowHead,0.5348837209302325,,30,4,32,64,100,montecarlo,sigmoid,adam
ArrowHead,0.5348837209302325,,30,4,32,64,100,montecarlo,sigmoid,sgd
ArrowHead,0.4883720930232558,,30,4,32,64,200,montecarlo,relu,adam
ArrowHead,0.37209302325581395,,30,4,32,64,200,montecarlo,relu,sgd
ArrowHead,0.46511627906976744,,30,4,32,64,200,montecarlo,sigmoid,adam
ArrowHead,0.4186046511627907,,30,4,32,64,200,montecarlo,sigmoid,sgd
ArrowHead,0.46511627906976744,,30,4,64,32,50,montecarlo,relu,adam
ArrowHead,0.5813953488372093,,30,4,64,32,50,montecarlo,relu,sgd
ArrowHead,0.5116279069767442,,30,4,64,32,50,montecarlo,sigmoid,adam
ArrowHead,0.3488372093023256,,30,4,64,32,50,montecarlo,sigmoid,sgd
ArrowHead,0.4883720930232558,,30,4,64,32,100,montecarlo,relu,adam
